ID,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE
0,Owner,0,0,2,BHK,1300.236407,1,1,Ksfc Layout_Bangalore,12.96991,77.59796
1,Dealer,0,0,2,BHK,1275.0,1,1,Vishweshwara Nagar_Mysore,12.274538,76.644605
2,Owner,0,0,2,BHK,933.1597222000001,1,1,Jigani_Bangalore,12.778033,77.632191
3,Owner,0,1,2,BHK,929.9211427000001,1,1,Sector-1 Vaishali_Ghaziabad,28.6423,77.3445
4,Dealer,1,0,2,BHK,999.0092470000001,0,1,New Town_Kolkata,22.5922,88.484911
5,Owner,0,0,3,BHK,1250.0,1,1,South Chittoor_Kochi,10.03328,76.28257099999999
6,Dealer,0,0,3,BHK,1495.053957,1,1,Sodala_Jaipur,26.916347,75.7956
7,Owner,0,1,3,BHK,1181.012946,1,1,Kharar_Mohali,30.74,76.65
8,Dealer,0,1,2,BHK,1040.0,1,1,Bileshivale_Bangalore,13.054202,77.674002
9,Owner,0,1,2,BHK,879.1208791000001,1,1,Chromepet_Chennai,12.95161,80.14097
10,Owner,0,0,3,BHK,1350.308642,1,1,Deshbandhu Para_Siliguri,26.724219,88.326357
11,Dealer,0,0,2,BHK,1333.0101789999999,1,1,Hebbal_Bangalore,13.040339999999999,77.591347
12,Owner,0,0,2,BHK,927.1779023,1,1,Garebhavipalya_Bangalore,12.96991,77.59796
13,Owner,0,1,2,BHK,1122.1719460000002,1,1,Sector-119 Noida_Noida,28.587711,77.403123
14,Owner,0,0,1,BHK,649.9837504,1,1,sanjay nagar_Raigad,13.0352,77.5772
15,Dealer,1,1,3,BHK,1394.117647,0,1,Sector-150 Noida_Noida,28.429614,77.481711
16,Owner,0,0,3,BHK,1800.08471,1,1,Jharapada_Bhubaneswar,20.275267000000003,85.86240699999999
17,Dealer,1,1,3,BHK,2124.896706,0,1,Konanakunte_Bangalore,12.8855,77.5638
18,Owner,0,0,2,BHK,1100.0,1,1,Nagpur Road_Wardha,21.15389,79.08306
19,Dealer,0,1,3,BHK,2178.649237,1,1,Kogilu_Bangalore,13.092356,77.61346800000001
20,Owner,0,0,2,BHK,881.1435285,1,1,Poonamallee_Chennai,13.05,80.11
21,Dealer,0,0,2,BHK,944.8818898,1,1,Undri_Pune,18.452663,73.93104
22,Dealer,0,1,3,BHK,1310.1476890000001,1,1,Sector-134 Noida_Noida,28.5041,77.381557
23,Dealer,0,0,1,BHK,630.00063,1,1,Bandra (West)_Mumbai,19.05444,72.84056
24,Dealer,0,0,2,BHK,1219.80971,1,1,Narendra Nagar_Nagpur,21.105779000000002,79.078497
25,Owner,0,0,2,BHK,780.141844,1,1,Kudgat_Kolkata,22.54111,88.33778000000001
26,Owner,0,0,3,BHK,1600.0,1,1,Sain Vihar_Ghaziabad,28.63601,77.433724
27,Dealer,0,0,2,BHK,1180.4123710000001,1,1,Sector-115 Mohali_Mohali,30.712867,76.648557
28,Owner,1,0,2,BHK,1000.0,0,1,Mohan Asram_Deoghar,24.48,86.7
29,Dealer,0,0,2,BHK,1000.0,1,1,Alwar Bypass Road_Bhiwadi,28.2102,76.8606
30,Dealer,0,0,3,BHK,1400.107701,1,1,Sector 84 Faridabad_Faridabad,28.404729999999997,77.367514
31,Dealer,0,1,2,BHK,943.1266075999999,1,1,Sector-134 Noida_Noida,28.5041,77.381557
32,Owner,0,0,2,BHK,1150.1463820000001,1,1,Indra Colony_Jaipur,26.586306,74.873234
33,Dealer,1,1,1,BHK,864.0674393999999,0,1,Thane West_Lalitpur,19.18,72.96333
34,Dealer,0,1,2,BHK,857.7861968000001,1,0,Mulund (West)_Maharashtra,19.1759,72.9522
35,Owner,0,0,3,BHK,1174.210077,1,1,Thalambur_Chennai,12.852171,80.216826
36,Dealer,1,1,2,BHK,1020.087884,0,1,Wakad_Pune,18.5993,73.7625
37,Owner,0,0,4,BHK,1650.165017,1,1,Vasna_Vadodara,22.312063000000002,72.674296
38,Dealer,1,0,2,BHK,1000.0,0,1,Madhurawada_Visakhapatnam,17.815234,83.35818
39,Owner,0,0,3,BHK,1300.052002,1,1,Vasanthapura_Bangalore,12.894088,77.548914
40,Dealer,1,1,1,BHK,40606.195680000004,0,0,Kanjur Marg (East)_Lalitpur,24.690279999999998,78.41889
41,Dealer,0,1,2,BHK,1058.114928,1,1,Sus_Pune,18.539812,73.737678
42,Dealer,1,0,1,BHK,400.0,0,1,Kharadi_Pune,18.5438,73.9438
43,Dealer,0,1,3,BHK,1274.924779,1,1,Marol_Mumbai,22.803593,83.755013
44,Dealer,0,0,2,BHK,1026.694045,1,1,Wadala East_Lalitpur,19.014858,72.8662
45,Owner,0,0,2,BHK,1150.121065,1,1,Near Ambamata Mandir_Vapi,20.366670000000003,72.9
46,Owner,0,0,3,BHK,1200.0,1,1,Patel Nagar-II_Ghaziabad,28.460928000000003,77.03939100000001
47,Dealer,0,0,1,RK,475.01032630000003,1,1,Balkum_Lalitpur,24.690279999999998,78.41889
48,Builder,1,1,1,BHK,301.91711630000003,0,0,Taloja_Lalitpur,24.690279999999998,78.41889
49,Dealer,1,1,2,BHK,1228.5714289999999,0,1,Bolar_Mangalore,12.843852,74.845271
50,Owner,0,0,2,BHK,986.0164934000001,1,1,Ayanambakkam_Chennai,13.077175,80.151453
51,Dealer,1,1,3,BHK,1972.5651579999999,0,1,Sector 88 Faridabad_Faridabad,28.431862,77.351104
52,Dealer,1,1,1,BHK,420.6166888,0,1,Sindhi Society Chembur_Lalitpur,19.048403,72.88731
53,Owner,0,0,3,BHK,1275.009808,1,1,Shiv Mandir_Siliguri,25.232239,71.392013
54,Dealer,1,1,1,BHK,406.024219,0,0,Kalyan (West)_Maharashtra,19.245347,73.124577
55,Dealer,0,0,3,BHK,1862.562189,1,1,Sector 88 Faridabad_Faridabad,28.431862,77.351104
56,Owner,0,0,2,BHK,950.0146156,1,1,Nandanwan Phases 2_Aurangabad,19.88879,75.34344
57,Owner,0,1,4,BHK,5200.945626,1,1,Sector-76 Noida_Noida,28.567633,77.383124
58,Dealer,0,0,2,BHK,1049.9693439999999,1,1,Basaveshwara Nagar_Bangalore,12.985039,77.54383
59,Dealer,0,0,3,BHK,1615.008157,1,1,Maniktala_Kolkata,22.589694,88.372957
60,Dealer,0,0,3,BHK,1150.0069,1,1,Wadala East_Lalitpur,19.014858,72.8662
61,Owner,0,0,2,BHK,1100.0,1,1,Jhotwara_Jaipur,26.955346000000002,75.73479300000001
62,Dealer,1,1,2,BHK,906.2661832999999,0,0,Balkum_Lalitpur,24.690279999999998,78.41889
63,Owner,0,0,3,BHK,1454.333915,1,1,Poolakkaparambu_Ottapalam,10.77,76.38
64,Owner,0,0,3,BHK,1591.994542,1,1,Sector-137 Noida_Noida,28.506453999999998,77.40956800000001
65,Dealer,0,1,2,BHK,573.8769151,1,1,Sector 86 Faridabad_Faridabad,28.406388,77.342588
66,Dealer,0,1,3,BHK,1038.883942,1,1,Powai_Mumbai,19.12,72.91
67,Owner,0,0,3,BHK,1538.141758,1,1,Yelahanka_Bangalore,13.11389,77.59833
68,Owner,0,0,2,BHK,5000.0,1,1,Malviya Nagar_Jaipur,26.850391,75.814198
69,Dealer,0,0,3,BHK,1602.084012,1,1,Sector 77 Faridabad_Faridabad,28.368269,77.37273
70,Owner,0,0,2,BHK,1200.0,1,1,Madhuranagar_Vijayawada,16.51667,80.61667
71,Owner,0,0,2,BHK,760.0709400000001,1,1,Tilakwadi_Belgaum,15.866670000000001,74.5
72,Owner,1,0,2,BHK,739.8273736000001,0,1,tallaiya_Bhopal,23.25,77.41667
73,Owner,0,0,2,BHK,1260.02291,1,1,Mulki_Mangalore,13.0915,74.7844
74,Owner,0,0,2,BHK,1100.151745,1,1,Manewada_Nagpur,21.093676000000002,79.111965
75,Dealer,0,1,3,BHK,2293.077091,1,1,Kharadi_Pune,18.5438,73.9438
76,Dealer,0,0,2,BHK,1146.480331,1,1,Sector-8 Ulwe_Lalitpur,19.216097,72.821721
77,Dealer,0,1,4,BHK,2224.059764,1,1,Goregaon (East)_Lalitpur,19.1615,72.8731
78,Dealer,0,0,2,BHK,759.8784195000001,1,1,Joka_Kolkata,22.452032,88.298947
79,Owner,0,0,4,BHK,2260.251857,1,1,Wilson Garden_Bangalore,12.9506,77.5952
